MSSubClass,LotFrontage,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,GarageFinish,GarageCars
0.2352941176470588,0.4182081213682387,0.663677130044843,0.6666666666666665,0.9492753623188416,0.8833333333333329,0.5313901345291481,0.9495114006514658,0.1400981996726677,0.4135593220338983,0.5777122882260084,0.6666666666666666,0.785919540229885,0.6507633587786259,0.5
0.0,0.4950637470974308,0.0403587443946188,0.5555555555555556,0.7536231884057969,0.43333333333333,1.0000000000000002,0.9495114006514658,0.2065466448445172,0.0,0.4702445078729567,0.6666666666666666,1.0,0.6507633587786259,0.5
0.2352941176470588,0.4349089973815976,0.663677130044843,0.6666666666666665,0.9347826086956524,0.8666666666666671,0.5313901345291481,0.9495114006514658,0.1505728314238952,0.4193704600484261,0.59309515868294,0.6666666666666666,0.785919540229885,0.6507633587786259,0.5
0.2941176470588235,0.3885811169229189,0.2197309417040358,0.6666666666666665,0.3115942028985508,0.3333333333333357,1.0000000000000002,1.0,0.1237315875613748,0.3661016949152542,0.5791574328965412,0.3333333333333333,0.785919540229885,1.0,0.75
0.2352941176470588,0.5131229364071093,0.1748878923766816,0.7777777777777777,0.9275362318840584,0.8333333333333357,0.5313901345291481,0.9495114006514658,0.1873977086743044,0.5099273607748184,0.6665228823649914,0.6666666666666666,0.785919540229885,0.6507633587786259,0.75
0.1764705882352941,0.5175033420618727,0.210762331838565,0.4444444444444445,0.8768115942028984,0.75,1.0000000000000002,0.9495114006514658,0.1302782324058919,0.27409200968523,0.4972202460326831,0.3333333333333333,1.0,1.0,0.5
0.0,0.4711754616031938,0.3766816143497757,0.7777777777777777,0.9565217391304356,0.9166666666666644,0.5313901345291481,0.1400651465798046,0.2759410801963993,0.0,0.574386761705187,0.6666666666666666,0.785919540229885,0.6507633587786259,0.5
0.2352941176470588,0.4403125963841563,0.3183856502242152,0.6666666666666665,0.7318840579710155,0.3833333333333328,1.0000000000000002,0.9495114006514658,0.1811783960720131,0.4760290556900726,0.6486996026216678,0.6666666666666666,1.0,0.6507633587786259,0.5
0.1764705882352941,0.3284263672070855,0.4977578475336321,0.6666666666666665,0.4275362318840585,0.0,1.0000000000000002,1.0,0.155810147299509,0.3641646489104116,0.5907103163127223,0.6666666666666666,1.0,1.0,0.5
1.0,0.3210966235741512,0.2511210762331838,0.4444444444444445,0.4855072463768124,0.0,1.0000000000000002,1.0,0.1621931260229132,0.0,0.4141685917812125,0.3333333333333333,1.0,0.6507633587786259,0.25
