MSSubClass,LotFrontage,LotArea,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,GrLivArea,FullBath,KitchenQual,GarageFinish,GarageCars
60,4.174387269895637,9.04192172035122,0.1027397260273972,7,2003,2003,0.3342465753424657,0.4232876712328767,856,7.444248649496705,2,0.4013698630136986,0.2890410958904109,2
20,4.382026634673881,9.169518377455928,0.0075342465753424,6,1976,1976,0.6205479452054794,0.4232876712328767,1262,7.140453043101158,2,0.5034246575342466,0.2890410958904109,2
60,4.219507705176107,9.328123407632566,0.1027397260273972,7,2001,2002,0.3342465753424657,0.4232876712328767,920,7.487733761436444,2,0.4013698630136986,0.2890410958904109,2
70,4.0943445622221,9.164296433474776,0.034931506849315,7,1915,1970,0.6205479452054794,0.4445205479452054,756,7.448333860897476,1,0.4013698630136986,0.4143835616438356,3
60,4.430816798843313,9.565213693968287,0.0280821917808219,8,2000,2000,0.3342465753424657,0.4232876712328767,1145,7.6953031349635665,2,0.4013698630136986,0.2890410958904109,3
50,4.442651256490317,9.55499334068759,0.0335616438356164,5,1993,1995,0.6205479452054794,0.4232876712328767,796,7.216709486709457,1,0.5034246575342466,0.4143835616438356,2
20,4.31748811353631,9.218705288307811,0.0589041095890411,8,2004,2005,0.3342465753424657,0.0828767123287671,1686,7.434847875211999,2,0.4013698630136986,0.2890410958904109,2
60,4.23410650459726,9.247828816387177,0.05,7,1973,1973,0.6205479452054794,0.4232876712328767,1107,7.644919344958857,2,0.5034246575342466,0.2890410958904109,2
50,3.9318256327243257,8.719317375506371,0.0773972602739726,7,1931,1950,0.6205479452054794,0.4445205479452054,952,7.480992162869525,2,0.5034246575342466,0.4143835616438356,2
190,3.912023005428146,8.911934336161426,0.0397260273972602,5,1939,1950,0.6205479452054794,0.4445205479452054,991,6.981934677156389,1,0.5034246575342466,0.2890410958904109,1
20,4.248495242049359,9.323669057283183,0.0506849315068493,5,1965,1965,0.6205479452054794,0.4445205479452054,1040,6.946975992135418,1,0.5034246575342466,0.4143835616438356,1
60,4.442651256490317,9.386308454797962,0.0527397260273972,9,2005,2006,0.0356164383561643,0.0828767123287671,1175,7.751045117971802,3,0.0684931506849315,0.2410958904109589,3
20,4.23410650459726,9.470240063415512,0.0506849315068493,5,1962,1962,0.6205479452054794,0.4445205479452054,912,6.815639990074331,1,0.5034246575342466,0.4143835616438356,1
20,4.51085950651685,9.273502946933824,0.1027397260273972,7,2006,2007,0.3342465753424657,0.4232876712328767,1494,7.309212365692763,2,0.4013698630136986,0.2890410958904109,3
20,4.23410650459726,9.298351249298896,0.1541095890410959,6,1960,1960,0.6205479452054794,0.4445205479452054,1253,7.133295954896068,1,0.5034246575342466,0.2890410958904109,1
45,3.9318256327243257,8.719317375506371,0.0397260273972602,7,1929,2001,0.6205479452054794,0.4445205479452054,832,6.74993119378857,1,0.5034246575342466,0.4143835616438356,2
20,4.23410650459726,9.327323087461798,0.1541095890410959,6,1970,1970,0.6205479452054794,0.4445205479452054,1004,6.911747300251674,1,0.5034246575342466,0.2410958904109589,2
90,4.276666119016055,9.286467732363734,0.0506849315068493,4,1967,1967,0.6205479452054794,0.0253424657534246,0,7.16703787691222,2,0.5034246575342466,0.4143835616438356,2
20,4.189654742026425,9.524786081697178,0.0404109589041095,5,2004,2004,0.6205479452054794,0.4445205479452054,1114,7.01571242048723,1,0.4013698630136986,0.4143835616438356,2
20,4.248495242049359,8.930626469173578,0.1541095890410959,5,1958,1965,0.6205479452054794,0.4445205479452054,1029,7.199678345691172,1,0.5034246575342466,0.4143835616438356,1
60,4.61512051684126,9.5620530240851,0.0527397260273972,8,2005,2006,0.3342465753424657,0.0828767123287671,1158,7.773173680482536,3,0.4013698630136986,0.2890410958904109,3
45,4.04305126783455,8.915835074176277,0.0253424657534246,7,1930,1950,0.6205479452054794,0.4445205479452054,637,7.010311867307229,1,0.4013698630136986,0.4143835616438356,1
20,4.31748811353631,9.184201714366488,0.1027397260273972,8,2002,2002,0.3342465753424657,0.4232876712328767,1777,7.492760300922379,2,0.4013698630136986,0.2890410958904109,2
120,3.784189633918261,8.348537825386098,0.0116438356164383,5,1976,1976,0.6205479452054794,0.4232876712328767,1040,6.966024187106113,1,0.5034246575342466,0.4143835616438356,2
20,4.23410650459726,9.017483513266844,0.0506849315068493,5,1968,2001,0.6205479452054794,0.4445205479452054,1060,6.966024187106113,1,0.4013698630136986,0.4143835616438356,1
20,4.700480365792417,9.563107691083898,0.0527397260273972,8,2007,2007,0.3342465753424657,0.4232876712328767,1566,7.377758908227872,2,0.4013698630136986,0.2890410958904109,3
20,4.0943445622221,8.881836305004146,0.1541095890410959,5,1951,2000,0.6205479452054794,0.4445205479452054,900,6.802394763324311,1,0.4013698630136986,0.4143835616438356,2
20,4.584967478670572,9.348187438668308,0.0527397260273972,8,2007,2008,0.3342465753424657,0.0828767123287671,1704,7.440733707389261,2,0.4013698630136986,0.2890410958904109,3
20,3.8501476017100575,9.700207901150696,0.1541095890410959,5,1957,1997,0.6205479452054794,0.4445205479452054,1484,7.377758908227872,1,0.5034246575342466,0.2890410958904109,1
30,4.0943445622221,8.752107198329362,0.0397260273972602,4,1927,1950,0.6205479452054794,0.4445205479452054,520,6.253828811575473,1,0.0267123287671232,0.4143835616438356,1
70,3.912023005428146,9.047821442478408,0.0253424657534246,4,1920,1950,0.6205479452054794,0.4445205479452054,649,7.183111701743281,1,0.5034246575342466,0.4143835616438356,1
